Ref,Val,Package,PosX,PosY,Rot,Side
"R29","1.5Meg","R_0402_1005Metric",130.670000,-99.530000,0.000000,top
"R30","1Meg","R_0402_1005Metric",130.660000,-98.470000,180.000000,top
"R31","10k","R_0402_1005Metric",129.475000,-90.300000,90.000000,top
"R32","75","R_0402_1005Metric",153.225000,-119.175000,0.000000,top
"R33","88.7","R_0402_1005Metric",153.238000,-116.405000,0.000000,top
"R34","100k","R_0402_1005Metric",153.290000,-114.845000,0.000000,top
"SW1","PTS 647 SN50 SMTR2 LFS","PTS 647 SN50 SMTR2 LFS",126.590000,-63.900000,0.000000,top
"SW4","PTS 647 SN50 SMTR2 LFS","PTS 647 SN50 SMTR2 LFS",161.600000,-60.550000,0.000000,top
"SW9","PTS 647 SN50 SMTR2 LFS","PTS 647 SN50 SMTR2 LFS",123.752500,-93.260000,0.000000,top
"SW10","PTS 647 SN50 SMTR2 LFS","PTS 647 SN50 SMTR2 LFS",123.802500,-99.450000,0.000000,top
"SW11","PTS 647 SN50 SMTR2 LFS","PTS 647 SN50 SMTR2 LFS",168.677500,-87.570000,0.000000,top
"SW12","PTS 647 SN50 SMTR2 LFS","PTS 647 SN50 SMTR2 LFS",168.650000,-93.550000,0.000000,top
"SW13","PTS 647 SN50 SMTR2 LFS","PTS 647 SN50 SMTR2 LFS",168.640000,-99.500000,0.000000,top
"SW14","PTS 647 SN50 SMTR2 LFS","PTS 647 SN50 SMTR2 LFS",123.792500,-87.240000,0.000000,top
"U1","RP2350_60QFN","RP2350-QFN-60-1EP_7x7_P0.4mm_EP3.4x3.4mm_ThermalVias_NEW",144.812500,-82.580000,180.000000,top
"U2","W25Q128JVS","SOIC_128JVSIQ_WIN",154.000000,-94.550000,180.000000,top
"U3","TPS62811QWRWYRQ1","RWY0009A",138.105201,-104.169300,-90.000000,top
"U4","MCP73812T-420I-OT","SOT-23-5",136.165200,-113.970200,0.000000,top
"U5","TLV3012AIDCKR","DCK6",133.725000,-98.200000,0.000000,top
"U6","74HC14","SN74HC14DR_D14",168.150000,-73.246200,-90.000000,top
"X1","ABM8-272-T3","ABM8-272-T3_ABR",147.850000,-72.050000,-90.000000,top
