Designator,Val,Package,Mid X,Mid Y,Rotation,Side
L9,15u,L_0805_2012Metric,143.9875,-78.1225,0,top
L11,47n,L_0402_1005Metric,143.35,-67.1225,180,top
L12,15n,L_0402_1005Metric,145.65,-69.1225,180,top
L13,2.5n,L_0402_1005Metric,143.82,-65.6375,90,top
L14,4.7n,L_0402_1005Metric,143.8025,-60.645,90,top
L15,9.1n,L_0402_1005Metric,144.96,-48.392441,90,top
R1,1k,R_0402_1005Metric,128.36,-87.47,0,top
R2,1k,R_0402_1005Metric,160.31,-114.77,180,top
R3,100k,R_0402_1005Metric,134.5627,-132.4877,0,top
R4,8.06k,R_0402_1005Metric,134.562702,-127.0468,180,top
R5,10k,R_0402_1005Metric,156.3375,-119.8975,0,top
R6,33,R_0402_1005Metric,139.1625,-112.7725,90,top
R7,27,R_0402_1005Metric,146.0625,-112.3475,90,top
R8,27,R_0402_1005Metric,145.0125,-112.3475,90,top
R9,1k,R_0402_1005Metric,145.55,-97.6,-90,top
R10,88.7k,R_0402_1005Metric,134.572702,-123.8868,0,top
R11,19.6k,R_0402_1005Metric,134.562702,-124.9268,180,top
R12,10k,R_0402_1005Metric,137.1227,-133.0077,90,top
R13,100k,R_0402_1005Metric,140.6975,-125.9975,180,top
R14,5.1k,R_0402_1005Metric,146.1175,-139.1375,0,top
R15,5.1k,R_0402_1005Metric,140.5125,-139.0725,90,top
R16,10k,R_0402_1005Metric,173.7225,-91.9425,-90,top
R17,10k,R_0402_1005Metric,173.7325,-90.0025,-90,top
R18,10k,R_0402_1005Metric,169.9725,-89.9925,-90,top
R19,10k,R_0402_1005Metric,169.9825,-91.9625,-90,top
R20,10k,R_0402_1005Metric,166.1025,-90.0025,-90,top
R21,10k,R_0402_1005Metric,166.1025,-91.9425,-90,top
R22,10k,R_0402_1005Metric,165.907689,-106.030565,90,top
R23,10k,R_0402_1005Metric,169.797689,-106.026765,90,top
R24,10k,R_0402_1005Metric,173.557689,-106.030565,90,top
R25,10k,R_0402_1005Metric,165.897689,-104.096765,90,top
R26,10k,R_0402_1005Metric,169.787689,-104.106765,90,top
R27,10k,R_0402_1005Metric,173.547689,-104.086765,90,top
R28,110,R_0402_1005Metric,152.7,-145.47,0,top
R29,1.5Meg,R_0402_1005Metric,130.0575,-121.3275,0,top
R30,1Meg,R_0402_1005Metric,130.0475,-120.2675,180,top
R32,91,R_0402_1005Metric,151.75,-140.25,0,top
R33,20,R_0402_1005Metric,152.6255,-138.2025,0,top
R34,100k,R_0402_1005Metric,161.29,-142.38,90,top
R35,100,R_0402_1005Metric,147.92,-56.5225,0,top
R36,100,R_0402_1005Metric,141.73,-55.8225,180,top
R37,100k,R_0402_1005Metric,122.24,-105.34,90,top
R38,51,R_0402_1005Metric,122.07,-106.94,180,top
R39,100k,R_0402_1005Metric,151.1,-144.53,90,top
R40,1k,R_0402_1005Metric,134.84,-105.85,180,top
R41,1k,R_0402_1005Metric,130.87,-108.09,180,top
SW1,PTS 647 SN50 SMTR2 LFS,PTS 647 SN50 SMTR2 LFS,119.83,-85.91,0,top
